input_size,run,duration_ms,checksum
100000,1,12.087227,4600072
100000,2,11.883435,4600072
100000,3,11.876320,4600072
100000,4,12.239955,4600072
100000,5,12.020880,4600072
100000,6,12.286222,4600072
100000,7,12.028531,4600072
250000,1,30.899971,11499918
250000,2,30.733577,11499918
250000,3,31.065879,11499918
250000,4,30.487359,11499918
250000,5,31.012631,11499918
250000,6,30.606134,11499918
250000,7,30.972852,11499918
500000,1,62.548947,22999939
500000,2,61.993518,22999939
500000,3,62.106890,22999939
500000,4,62.185023,22999939
500000,5,62.095893,22999939
500000,6,62.300162,22999939
500000,7,73.403993,22999939
1000000,1,136.249711,45999901
1000000,2,132.296318,45999901
1000000,3,129.727271,45999901
1000000,4,124.995525,45999901
1000000,5,126.665006,45999901
1000000,6,127.227935,45999901
1000000,7,125.711895,45999901
2000000,1,252.169414,91999886
2000000,2,251.787200,91999886
2000000,3,251.193870,91999886
2000000,4,254.562571,91999886
2000000,5,265.432105,91999886
2000000,6,256.388095,91999886
2000000,7,250.257423,91999886
